DATE,CSUSHPISA,MSACSR,PERMIT,TLRESCONS,EVACANTUSQ176N
01-01-2003,129.321,4.2,1806.333333,421328.6667,14908
01-04-2003,131.756,3.833333333,1837.666667,429308.6667,15244
01-07-2003,135.013,3.633333333,1937.333333,458890,15614
01-10-2003,138.8356667,3.966666667,1972.333333,491437.3333,15654
01-01-2004,143.2986667,3.7,1994.666667,506856.3333,15895
01-04-2004,148.209,3.9,2080,526483.3333,16079
01-07-2004,152.7166667,4.3,2069.666667,552939,15656
01-10-2004,157.5353333,4.1,2086,561413.3333,15361
01-01-2005,163.4813333,4.266666667,2105,590790.3333,15748
01-04-2005,169.3473333,4.266666667,2137.666667,611957,16061
01-07-2005,174.58,4.466666667,2228.333333,642273.6667,15883
01-10-2005,179.5393333,4.8,2169.333333,670433,15823
01-01-2006,183.3243333,5.766666667,2157,680067.3333,16234
01-04-2006,183.9973333,6.266666667,1923.333333,639389,16513
01-07-2006,182.8193333,6.9,1713.333333,591320.6667,16769
01-10-2006,183.6493333,6.8,1581,558263.6667,16894
01-01-2007,184.422,7.666666667,1606.666667,539003.6667,17724
01-04-2007,181.6213333,7.8,1456.666667,521924,17547
01-07-2007,178.2613333,8.9,1314.333333,488432.3333,18049
01-10-2007,175.37,9.166666667,1188.333333,439296,17910
01-01-2008,171.5756667,9.833333333,1025,400027.3333,18642
01-04-2008,166.6723333,10.56666667,1061,388045.3333,18701
01-07-2008,161.9543333,10.9,858.6666667,360447.6667,18651
01-10-2008,156.0286667,11.4,638.6666667,319480,18973
01-01-2009,150.06,11.23333333,538.6666667,276721.3333,19137
01-04-2009,147.9113333,9.5,559.3333333,246953.3333,18752
01-07-2009,148.237,7.733333333,606.6666667,257975,18996
01-10-2009,147.97,7.666666667,623.3333333,263932.3333,19006
01-01-2010,146.295,7.833333333,657.6666667,263516.3333,19126
01-04-2010,146.1713333,7.933333333,599.6666667,262938.3333,19022
01-07-2010,143.973,8.433333333,574,251115.3333,18933
01-10-2010,142.254,7.8,583.3333333,248572.6667,18551
01-01-2011,140.618,7.533333333,567,250635,18998
01-04-2011,139.9243333,6.633333333,611.6666667,254937.3333,18843
01-07-2011,139.2346667,6.5,626,258663.3333,18803
01-10-2011,137.2596667,5.666666667,691.3333333,256598.6667,18389
01-01-2012,137.0143333,5,752,257335,18476
01-04-2012,140.1133333,4.8,774,270188,18519
01-07-2012,142.2863333,4.566666667,873,285750,18149
01-10-2012,144.5626667,4.666666667,915,302709.3333,17939
01-01-2013,148.191,4.1,952,314411.3333,18459
01-04-2013,152.8543333,4.366666667,985.6666667,327098.3333,18165
01-07-2013,156.9313333,5.466666667,988.3333333,340381,18177
01-10-2013,160.1023333,5.033333333,1026,358938.6667,18087
01-01-2014,162.5143333,5.333333333,1027.333333,372124,18453
01-04-2014,163.705,5.533333333,1039.333333,379708,18219
01-07-2014,165.2326667,5.666666667,1066.666667,381017.3333,18170
01-10-2014,167.3446667,5.366666667,1075,398399.6667,16956
01-01-2015,169.1906667,4.8,1082.666667,415744.6667,17502
01-04-2015,170.8803333,5.1,1272.333333,431303.6667,17379
01-07-2015,172.9643333,5.366666667,1149.666667,449032.3333,17510
01-10-2015,175.695,5.4,1205,455911.6667,17288
01-01-2016,177.7003333,5.533333333,1153.666667,469067,17758
01-04-2016,179.422,5.133333333,1191,477115.3333,17268
01-07-2016,181.8356667,4.9,1234,486843,17160
01-10-2016,184.747,5.266666667,1244,511281.6667,17328
01-01-2017,187.3716667,5.233333333,1268.666667,529871.3333,17384
01-04-2017,189.6213333,5.266666667,1265.666667,542516,17637
01-07-2017,192.6373333,5.733333333,1289,549521.6667,17684
01-10-2017,195.9763333,5.3,1322.333333,561319,16814
01-01-2018,199.1546667,5.566666667,1341,579760,17258
01-04-2018,201.4513333,5.6,1344.666667,581159.3333,17060
01-07-2018,203.6866667,6.433333333,1315.333333,560109.6667,17221
01-10-2018,205.6396667,7.066666667,1311.333333,535932.3333,16382
01-01-2019,206.772,6.366666667,1282.333333,523016.6667,16814
01-04-2019,208.1416667,5.833333333,1312.333333,539253,17031
01-07-2019,210.162,5.6,1455.333333,565471.6667,17038
01-10-2019,212.806,5.533333333,1507,583015.3333,16113
01-01-2020,215.638,5.9,1429.333333,616682.3333,15967
01-04-2020,217.239,5.3,1210.666667,603744.6667,13876
01-07-2020,222.6413333,3.4,1577.666667,646601.6667,14249
01-10-2020,233.09,3.866666667,1698.333333,707944.3333,15446
01-01-2021,242.267,4.333333333,1765.666667,753515.6667,15602
01-04-2021,253.814,5.3,1679.333333,795501.3333,15658
01-07-2021,266.831,6.2,1697,819745,15206
01-10-2021,277.317,6.233333333,1816.666667,837069,14999
01-01-2022,290.868,6.233333333,1864,910611,15166
01-04-2022,303.4226667,8.7,1734.666667,947300.3333,15286
01-07-2022,301.7263333,9.566666667,1610.666667,910346,15306
01-10-2022,297.8966667,9.2,1455.333333,870620.6667,14554
01-01-2023,.,8.033333333,1424.333333,842559.6667,15053
01-04-2023,.,.,.,.,.
